country,sector,value
BRA,10T12,7.088
BRA,13T15,0.845
BRA,16,0.1380526325930786
BRA,17T18,4.571
BRA,19,39.06889502384125
BRA,20,20.7728970195
BRA,21,2.673
BRA,22,3.829
BRA,23,44.466845
BRA,24,61.653854849999995
BRA,25,0.223
BRA,26,0.102
BRA,27,0.214
BRA,28,0.21
BRA,29T30,0.597
BRA,31T33,2.543
BRA,35,43.143
BRA,36T39,0.375
BRA,41T43,3.077
BRA,45T47,6.803
BRA,49,40.317
BRA,50,8.65
BRA,51,14.811
BRA,52,0.621
BRA,53,0.258
BRA,55T56,0.802
BRA,58T60,0.061
BRA,61,0.102
BRA,62T63,0.159
BRA,64T66,0.53
BRA,68,0.302
BRA,69T75,0.681
BRA,77T82,0.761
BRA,84,1.401
BRA,85,0.348
BRA,86T88,0.3
BRA,90T93,0.082
BRA,94T98,0.465
BRN,01T02,0.4733913
BRN,03,0.001
BRN,05T06,7.507272166510601
BRN,07T08,0.002
BRN,10T12,0.006
BRN,13T15,0.012
BRN,16,0.002
BRN,17T18,0.007
BRN,19,0.232
BRN,20,0.003
BRN,21,0.0
BRN,22,0.115
BRN,23,0.10325249833
BRN,24,0.0
BRN,25,0.011
BRN,26,0.004
BRN,27,0.002
BRN,28,0.005
BRN,29T30,0.012
BRN,31T33,0.267
BRN,35,2.951
BRN,36T39,0.003
BRN,41T43,0.192
BRN,45T47,0.101
BRN,49,0.057
BRN,50,0.549
BRN,51,0.496
BRN,52,0.01
BRN,53,0.0
BRN,55T56,0.007
BRN,58T60,0.002
BRN,61,0.008
BRN,62T63,0.001
BRN,64T66,0.037
BRN,68,0.004
BRN,69T75,0.057
BRN,77T82,0.018
BRN,84,0.246
BRN,85,0.021
BRN,86T88,0.014
BRN,90T93,0.001
BRN,94T98,0.001
CAN,01T02,198.563078
CAN,03,0.305
CAN,05T06,148.4885456211578
CAN,07T08,7.3237377996859445
CAN,10T12,4.631
CAN,13T15,0.191
CAN,16,3.859532385254641
CAN,17T18,5.695
CAN,19,47.514633910761596
CAN,20,21.415496645
CAN,21,1.81
CAN,22,5.743
CAN,23,15.2442299
CAN,24,24.104213965
CAN,25,0.477
CAN,26,0.125
CAN,27,0.099
CAN,28,0.397
CAN,29T30,1.184
CAN,31T33,6.107
CAN,35,80.366
CAN,36T39,1.427
CAN,41T43,20.739
CAN,45T47,13.164
CAN,49,41.052
CAN,50,6.704
CAN,51,38.025
CAN,52,1.593
CAN,53,1.505
CAN,55T56,2.056
CAN,58T60,1.029
CAN,61,1.954
CAN,62T63,1.327
CAN,64T66,6.153
CAN,68,7.412
CAN,69T75,3.647
CAN,77T82,6.044
CAN,84,8.127
CAN,85,5.02
CAN,86T88,6.338
CAN,90T93,0.876
CAN,94T98,1.447
CHE,01T02,6.736328100000001
CHE,03,0.0
CHE,05T06,0.6642915601499999
CHE,07T08,0.026
CHE,10T12,0.789
CHE,13T15,0.087
CHE,16,0.055
CHE,17T18,0.239
CHE,19,1.805
CHE,20,0.43175191
CHE,21,1.716
CHE,22,0.339
CHE,23,3.65401939
CHE,24,0.4490605597999999
CHE,25,0.193
CHE,26,0.536
CHE,27,0.377
CHE,28,0.208
CHE,29T30,0.013
CHE,31T33,0.269
CHE,35,1.653
CHE,36T39,0.063
CHE,41T43,0.573
CHE,45T47,4.0
CHE,49,1.37
CHE,50,7.764
CHE,51,6.112
CHE,52,0.499
CHE,53,0.09
CHE,55T56,0.172
CHE,58T60,0.043
CHE,61,0.078
CHE,62T63,0.14
CHE,64T66,0.526
CHE,68,0.303
CHE,69T75,0.757
CHE,77T82,0.306
CHE,84,0.72
CHE,85,0.056
CHE,86T88,0.423
CHE,90T93,0.139
CHE,94T98,0.098
CHL,01T02,12.5517804
CHL,03,0.871
CHL,05T06,2.0351741318466514
CHL,07T08,9.445147516225614
CHL,10T12,0.484
CHL,13T15,0.008
CHL,16,0.0323870642915497
CHL,17T18,1.207
CHL,19,1.0903644978155067
CHL,20,1.3545018676
CHL,21,0.059
CHL,22,2.074
CHL,23,3.452351139
CHL,24,1.2261069825
CHL,25,0.025
CHL,26,0.003
CHL,27,0.002
CHL,28,0.023
CHL,29T30,0.006
CHL,31T33,0.881
CHL,35,32.653
CHL,36T39,0.106
CHL,41T43,1.246
CHL,45T47,1.049
CHL,49,7.159
CHL,50,2.21
CHL,51,10.122
CHL,52,0.161
CHL,53,0.009
CHL,55T56,0.157
CHL,58T60,0.058
CHL,61,0.077
CHL,62T63,0.046
CHL,64T66,0.224
CHL,68,0.309
CHL,69T75,0.387
CHL,77T82,0.311
CHL,84,0.364
CHL,85,0.226
CHL,86T88,0.435
CHL,90T93,0.043
CHL,94T98,0.112
CHN,01T02,1467.1788806000002
CHN,03,6.237
CHN,05T06,370.538111360524
CHN,07T08,283.43244148612666
CHN,10T12,74.648
CHN,13T15,25.862
CHN,16,16.79726401140285
CHN,17T18,29.236
CHN,19,482.67537020542375
CHN,20,530.7791198866
CHN,21,88.152
CHN,22,152.614
CHN,23,1598.24658
CHN,24,2063.021327
CHN,25,19.298
CHN,26,25.363
CHN,27,13.662
CHN,28,24.646
CHN,29T30,29.48
CHN,31T33,97.24
CHN,35,4769.725
CHN,36T39,6.5760000000000005
CHN,41T43,115.892
CHN,45T47,48.576
CHN,49,172.21900000000002
CHN,50,272.597
CHN,51,137.569
CHN,52,46.3
CHN,53,7.835
CHN,55T56,10.002
CHN,58T60,1.735
CHN,61,5.203
CHN,62T63,5.43
CHN,64T66,17.674999999999997
CHN,68,17.084
CHN,69T75,30.462
CHN,77T82,45.427
CHN,84,17.575000000000003
CHN,85,12.625
CHN,86T88,6.218
CHN,90T93,2.632
CHN,94T98,5.478000000000001
COL,01T02,151.82792500000002
COL,03,0.016
COL,05T06,18.794509265190214
COL,07T08,2.813686595737791
COL,10T12,2.52
COL,13T15,1.508
COL,16,0.036141549992826
COL,17T18,1.457
COL,19,11.032542779291568
COL,20,0.9420357497499999
COL,21,0.189
COL,22,0.146
COL,23,9.07856226
COL,24,3.5442069075
COL,25,0.037
COL,26,0.001
COL,27,0.036
COL,28,0.008
COL,29T30,0.038
COL,31T33,0.24
COL,35,9.856
COL,36T39,0.216
COL,41T43,1.257
COL,45T47,1.767
COL,49,8.921
COL,50,0.349
COL,51,4.754
COL,52,0.197
COL,53,0.093
COL,55T56,0.169
COL,58T60,0.027
COL,61,0.129
COL,62T63,0.045
COL,64T66,0.216
COL,68,0.156
COL,69T75,0.213
COL,77T82,0.165
COL,84,0.981
COL,85,0.105
COL,86T88,0.241
COL,90T93,0.038
COL,94T98,0.041
CRI,01T02,4.8462305
CRI,03,0.021
CRI,05T06,0.0010097998617102804
CRI,07T08,0.093911387139056
CRI,10T12,0.507
CRI,13T15,0.051
CRI,16,0.0201959972342056
CRI,17T18,0.048
CRI,19,0.100979986171028
CRI,20,0.040022999999999996
CRI,21,0.012
CRI,22,0.021
CRI,23,1.078510387
CRI,24,0.0102
CRI,25,0.009
CRI,26,0.001
CRI,27,0.001
CRI,28,0.0
CRI,29T30,0.001
CRI,31T33,0.283
CRI,35,0.114
CRI,36T39,0.028
CRI,41T43,0.282
CRI,45T47,0.257
CRI,49,0.619
CRI,50,0.834
CRI,51,0.205
CRI,52,0.127
CRI,53,0.009
CRI,55T56,0.079
CRI,58T60,0.038
CRI,61,0.019
CRI,62T63,0.012
CRI,64T66,0.024
CRI,68,0.023
CRI,69T75,0.109
CRI,77T82,0.148
CRI,84,0.055
CRI,85,0.032
CRI,86T88,0.052
CRI,90T93,0.05
CRI,94T98,0.031
CYP,01T02,0.5165145
CYP,03,0.006
CYP,05T06,0.0034012325837358
CYP,07T08,0.0236651280861509
CYP,10T12,0.076
CYP,13T15,0.0
CYP,16,0.0022538217224905
CYP,17T18,0.003
CYP,19,0.0304265932536226
CYP,20,0.002
CYP,21,0.007
CYP,22,0.004
CYP,23,1.2806826667
CYP,24,0.002
CYP,25,0.005
CYP,26,0.001
CYP,27,0.0
CYP,28,0.0
CYP,29T30,0.0
CYP,31T33,0.004
CYP,35,3.498
CYP,36T39,0.006
CYP,41T43,0.057
CYP,45T47,0.09
CYP,49,0.144
CYP,50,0.295
CYP,51,0.197
CYP,52,0.054
CYP,53,0.008
CYP,55T56,0.019
CYP,58T60,0.007
CYP,61,0.004
CYP,62T63,0.006
CYP,64T66,0.047
CYP,68,0.01
CYP,69T75,0.016
CYP,77T82,0.013
CYP,84,0.029
CYP,85,0.008
CYP,86T88,0.01
CYP,90T93,0.009
CYP,94T98,0.004
CZE,01T02,9.3518294
CZE,03,0.001
CZE,05T06,4.214614414477909
CZE,07T08,0.27339417792323706
CZE,10T12,1.219
CZE,13T15,0.206
CZE,16,0.3084920791431121
CZE,17T18,0.42
CZE,19,2.7579561326986015
CZE,20,3.4827096905
CZE,21,0.49
CZE,22,0.347
CZE,23,7.4178635
CZE,24,5.97055685
CZE,25,0.4
CZE,26,0.213
CZE,27,0.187
CZE,28,0.34
CZE,29T30,0.745
CZE,31T33,0.286
CZE,35,49.646
CZE,36T39,0.306
CZE,41T43,1.291
CZE,45T47,2.692
CZE,49,4.863
CZE,50,0.093
CZE,51,1.164
CZE,52,0.743
CZE,53,0.071
CZE,55T56,0.186
CZE,58T60,0.079
CZE,61,0.099
CZE,62T63,0.183
CZE,64T66,0.273
CZE,68,0.785
CZE,69T75,0.534
CZE,77T82,0.518
CZE,84,0.465
CZE,85,0.166
CZE,86T88,0.244
CZE,90T93,0.093
CZE,94T98,0.07
DEU,01T02,78.32754560000001
DEU,03,0.086
DEU,05T06,10.94284643482259
DEU,07T08,0.8882024160449098
DEU,10T12,8.614
DEU,13T15,0.689
DEU,16,0.709495023026865
DEU,17T18,6.467
DEU,19,26.164629430007636
DEU,20,34.9149534395
DEU,21,5.493
DEU,22,1.44
DEU,23,38.081498100000005
DEU,24,62.0423801625
DEU,25,1.498
DEU,26,1.028
DEU,27,1.226
DEU,28,2.804
DEU,29T30,3.662
DEU,31T33,1.589
DEU,35,259.028
DEU,36T39,1.895
DEU,41T43,10.925
DEU,45T47,12.292
DEU,49,11.186
DEU,50,15.823
DEU,51,33.401
DEU,52,8.698
DEU,53,2.082
DEU,55T56,1.266
DEU,58T60,0.999
DEU,61,0.863
DEU,62T63,1.771
DEU,64T66,2.735
DEU,68,4.391
DEU,69T75,5.171
DEU,77T82,4.525
DEU,84,5.324
DEU,85,2.137
DEU,86T88,4.253
DEU,90T93,1.067
DEU,94T98,1.375
DNK,01T02,15.103613100000004
DNK,03,0.399
DNK,05T06,2.4888022142580004
DNK,07T08,0.058
DNK,10T12,1.052
DNK,13T15,0.018
DNK,16,0.024
DNK,17T18,0.076
DNK,19,0.976
DNK,20,0.3649268356
DNK,21,0.218
DNK,22,0.022
DNK,23,2.83644635
DNK,24,0.12825
DNK,25,0.076
DNK,26,0.032
DNK,27,0.017
DNK,28,0.145
DNK,29T30,0.016
DNK,31T33,0.069
DNK,35,8.701
DNK,36T39,0.069
DNK,41T43,0.92
DNK,45T47,0.518
DNK,49,2.081
DNK,50,30.559
DNK,51,2.656
DNK,52,0.088
DNK,53,0.043
DNK,55T56,0.037
DNK,58T60,0.023
DNK,61,0.02
DNK,62T63,0.037
DNK,64T66,0.068
DNK,68,0.137
DNK,69T75,0.121
DNK,77T82,0.168
DNK,84,0.2
DNK,85,0.077
DNK,86T88,0.109
DNK,90T93,0.035
DNK,94T98,0.026
ESP,01T02,49.521888700000005
ESP,03,1.18
ESP,05T06,9.13197548731699
ESP,07T08,1.1330434250667447
ESP,10T12,3.688
ESP,13T15,0.459
ESP,16,0.5547084764606003
ESP,17T18,1.762
ESP,19,14.758327187610085
ESP,20,10.340833959500001
ESP,21,1.822
ESP,22,0.604
ESP,23,23.1393543
ESP,24,9.463194075
ESP,25,0.841
ESP,26,0.077
ESP,27,0.569
ESP,28,0.457
ESP,29T30,0.781
ESP,31T33,0.799
ESP,35,63.541
ESP,36T39,1.241
ESP,41T43,4.593
ESP,45T47,3.836
ESP,49,16.309
ESP,50,10.305
ESP,51,17.926
ESP,52,0.837
ESP,53,0.26
ESP,55T56,1.276
ESP,58T60,0.215
ESP,61,0.317
ESP,62T63,0.453
ESP,64T66,1.043
ESP,68,1.342
ESP,69T75,1.163
ESP,77T82,1.32
ESP,84,1.667
ESP,85,1.127
ESP,86T88,1.082
ESP,90T93,0.51
ESP,94T98,0.342
EST,01T02,4.7279122000000005
EST,03,0.01
EST,05T06,0.98750510713035
EST,07T08,0.6057537005836575
EST,10T12,0.083
EST,13T15,0.007
EST,16,0.7126514124513619
EST,17T18,0.064
EST,19,2.42301480233463
EST,20,0.102633822
EST,21,0.001
EST,22,0.006
EST,23,0.6186567985
EST,24,0.00784436
EST,25,0.01
EST,26,0.004
EST,27,0.003
EST,28,0.003
EST,29T30,0.008
EST,31T33,0.032
EST,35,10.938
EST,36T39,0.01
EST,41T43,0.284
EST,45T47,0.108
EST,49,0.695
EST,50,0.707
EST,51,0.037
EST,52,0.066
EST,53,0.004
EST,55T56,0.013
EST,58T60,0.005
EST,61,0.008
EST,62T63,0.02
EST,64T66,0.017
EST,68,0.044
EST,69T75,0.039
EST,77T82,0.032
EST,84,0.043
EST,85,0.025
EST,86T88,0.021
EST,90T93,0.015
EST,94T98,0.007
FIN,01T02,14.168459999999998
FIN,03,0.099
FIN,05T06,7.30129469301168
FIN,07T08,0.158209108262304
FIN,10T12,0.192
FIN,13T15,0.009
FIN,16,0.0691510009623315
FIN,17T18,2.299
FIN,19,3.308770621803684
FIN,20,3.3029381860000004
FIN,21,0.23
FIN,22,0.192
FIN,23,1.924441361
FIN,24,4.05785051
FIN,25,0.022
FIN,26,0.033
FIN,27,0.017
FIN,28,0.048
FIN,29T30,0.045
FIN,31T33,0.137
FIN,35,17.276
FIN,36T39,0.093
FIN,41T43,1.575
FIN,45T47,0.223
FIN,49,2.139
FIN,50,3.229
FIN,51,3.554
FIN,52,0.331
FIN,53,0.032
FIN,55T56,0.036
FIN,58T60,0.031
FIN,61,0.017
FIN,62T63,0.045
FIN,64T66,0.12
FIN,68,0.533
FIN,69T75,0.103
FIN,77T82,0.135
FIN,84,0.252
FIN,85,0.092
FIN,86T88,0.194
FIN,90T93,0.078
FIN,94T98,0.054
FRA,01T02,92.6741817
FRA,03,1.04
FRA,05T06,5.718491516154709
FRA,07T08,1.0597255703422053
FRA,10T12,8.799
FRA,13T15,0.531
FRA,16,0.450534756762629
FRA,17T18,2.257
FRA,19,7.982458553286258
FRA,20,17.08486618472
FRA,21,2.849
FRA,22,1.017
FRA,23,19.302433
FRA,24,28.5377409
FRA,25,0.956
FRA,26,0.484
FRA,27,0.335
FRA,28,0.707
FRA,29T30,1.211
FRA,31T33,1.259
FRA,35,27.2
FRA,36T39,0.855
FRA,41T43,6.093
FRA,45T47,9.561
FRA,49,13.868
FRA,50,15.165
FRA,51,23.895
FRA,52,1.53
FRA,53,0.222
FRA,55T56,1.099
FRA,58T60,0.982
FRA,61,0.886
FRA,62T63,1.363
FRA,64T66,2.368
FRA,68,2.798
FRA,69T75,4.994
FRA,77T82,3.359
FRA,84,3.457
FRA,85,1.524
FRA,86T88,2.483
FRA,90T93,1.192
FRA,94T98,0.593
GBR,01T02,57.886601500000005
GBR,03,0.524
GBR,05T06,22.87685185328749
GBR,07T08,0.255150943786186
GBR,10T12,4.674
GBR,13T15,0.825
GBR,16,0.3119618961135789
GBR,17T18,1.271
GBR,19,15.173507688284744
GBR,20,11.9574231485
GBR,21,1.85
GBR,22,4.097
GBR,23,12.7510458
GBR,24,11.946297125
GBR,25,1.176
GBR,26,0.603
GBR,27,0.358
GBR,28,1.051
GBR,29T30,1.991
GBR,31T33,4.072
GBR,35,67.834
GBR,36T39,0.746
GBR,41T43,5.407
GBR,45T47,13.753
GBR,49,16.399
GBR,50,10.735
GBR,51,45.961
GBR,52,2.227
GBR,53,1.061
GBR,55T56,1.066
GBR,58T60,0.659
GBR,61,0.712
GBR,62T63,1.003
GBR,64T66,4.23
GBR,68,3.095
GBR,69T75,3.533
GBR,77T82,3.392
GBR,84,3.203
GBR,85,2.101
GBR,86T88,3.238
GBR,90T93,0.667
GBR,94T98,0.584
GRC,01T02,9.389819
GRC,03,0.095
GRC,05T06,2.3859322219368
GRC,07T08,0.342998415968075
GRC,10T12,0.81
GRC,13T15,0.07
GRC,16,0.016543331959875
GRC,17T18,0.099
GRC,19,6.46954568510845
GRC,20,0.8348262000000001
GRC,21,0.067
GRC,22,0.205
GRC,23,6.4068929
GRC,24,1.548161575
GRC,25,0.1
GRC,26,0.01
GRC,27,0.015
GRC,28,0.019
GRC,29T30,0.052
GRC,31T33,0.109
GRC,35,29.037
GRC,36T39,0.103
GRC,41T43,0.388
GRC,45T47,1.041
GRC,49,0.689
GRC,50,23.423
GRC,51,1.927
GRC,52,0.487
GRC,53,0.111
GRC,55T56,0.24
GRC,58T60,0.01
GRC,61,0.056
GRC,62T63,0.028
GRC,64T66,0.056
GRC,68,0.114
GRC,69T75,0.148
GRC,77T82,0.146
GRC,84,0.252
GRC,85,0.101
GRC,86T88,0.102
GRC,90T93,0.084
GRC,94T98,0.069
HRV,01T02,3.7894213999999993
HRV,03,0.093
HRV,05T06,1.4846594590738609
HRV,07T08,0.0193641567607159
HRV,10T12,0.352
HRV,13T15,0.031
HRV,16,0.018344990615415
HRV,17T18,0.093
HRV,19,0.885655380266428
HRV,20,2.0385501263
HRV,21,0.141
HRV,22,0.015
HRV,23,2.61887765
HRV,24,0.0660399999999999
HRV,25,0.042
HRV,26,0.007
HRV,27,0.018
HRV,28,0.017
HRV,29T30,0.013
HRV,31T33,0.023
HRV,35,3.039
HRV,36T39,0.051
HRV,41T43,0.981
HRV,45T47,0.274
HRV,49,0.614
HRV,50,1.132
HRV,51,0.227
HRV,52,0.069
HRV,53,0.016
HRV,55T56,0.067
HRV,58T60,0.011
HRV,61,0.026
HRV,62T63,0.03
HRV,64T66,0.066
HRV,68,0.086
HRV,69T75,0.11
HRV,77T82,0.074
HRV,84,0.168
HRV,85,0.041
HRV,86T88,0.088
HRV,90T93,0.044
HRV,94T98,0.02
HUN,01T02,15.3976396
HUN,03,0.009
HUN,05T06,2.6637735673179463
HUN,07T08,0.058991496962718194
HUN,10T12,0.926
HUN,13T15,0.056
HUN,16,0.0717151531703633
HUN,17T18,0.392
HUN,19,1.6587020910693722
HUN,20,4.753513432439999
HUN,21,0.65
HUN,22,0.19
HUN,23,2.859344321
HUN,24,1.6150852249999998
HUN,25,0.116
HUN,26,0.2
HUN,27,0.088
HUN,28,0.12
HUN,29T30,0.217
HUN,31T33,0.115
HUN,35,11.003
HUN,36T39,0.127
HUN,41T43,1.047
HUN,45T47,1.261
HUN,49,2.822
HUN,50,0.202
HUN,51,4.062
HUN,52,0.345
HUN,53,0.041
HUN,55T56,0.131
HUN,58T60,0.069
HUN,61,0.068
HUN,62T63,0.117
HUN,64T66,0.192
HUN,68,0.366
HUN,69T75,0.362
HUN,77T82,0.321
HUN,84,0.377
HUN,85,0.171
HUN,86T88,0.239
HUN,90T93,0.108
HUN,94T98,0.086
IDN,01T02,925.7846203
IDN,03,0.687
IDN,05T06,139.7261212553617
IDN,07T08,13.474949394180635
IDN,10T12,3.798
IDN,13T15,2.925
IDN,16,4.5894342107364015
IDN,17T18,6.143
IDN,19,45.17253874537266
IDN,20,29.45383438201
IDN,21,1.435
IDN,22,26.062
IDN,23,69.68344110000001
IDN,24,22.861733835
IDN,25,6.398
IDN,26,0.202
IDN,27,0.547
IDN,28,1.01
IDN,29T30,0.266
IDN,31T33,9.274
IDN,35,183.22
IDN,36T39,0.064
IDN,41T43,24.104
IDN,45T47,18.322
IDN,49,22.842
IDN,50,29.161
IDN,51,16.276
IDN,52,0.343
IDN,53,0.28
IDN,55T56,0.54
IDN,58T60,0.412
IDN,61,0.634
IDN,62T63,0.21
IDN,64T66,0.212
IDN,68,0.349
IDN,69T75,0.039
IDN,77T82,0.489
IDN,84,2.665
IDN,85,0.598
IDN,86T88,0.556
IDN,90T93,0.085
IDN,94T98,0.332
IND,01T02,808.815963
IND,03,0.139
IND,05T06,63.795304227906726
IND,07T08,8.397524854261981
IND,10T12,3.298
IND,13T15,7.031
IND,16,0.1489282924576893
IND,17T18,3.656
IND,19,101.6926382442056
IND,20,50.206899654
IND,21,7.668
IND,22,67.832
IND,23,195.72979
IND,24,509.776564702
IND,25,0.803
IND,26,0.531
IND,27,0.809
IND,28,5.517
IND,29T30,1.054
IND,31T33,79.139
IND,35,1010.754
IND,36T39,3.097
IND,41T43,14.088
IND,45T47,23.882
IND,49,77.159
IND,50,6.144
IND,51,22.807
IND,52,6.816
IND,53,1.728
IND,55T56,1.64
IND,58T60,0.912
IND,61,9.672
IND,62T63,3.756
IND,64T66,5.673
IND,68,10.496
IND,69T75,2.926
IND,77T82,31.65
IND,84,3.369
IND,85,3.071
IND,86T88,1.238
IND,90T93,0.429
IND,94T98,5.812
IRL,01T02,25.9981229
IRL,03,0.094
IRL,05T06,2.3880584822121014
IRL,07T08,0.14919757260920888
IRL,10T12,0.984
IRL,13T15,0.057
IRL,16,0.0294192396694214
IRL,17T18,0.015
IRL,19,0.709213813459268
IRL,20,0.076
IRL,21,0.739
IRL,22,0.02
IRL,23,3.331150079
IRL,24,0.9948
IRL,25,0.101
IRL,26,2.631
IRL,27,0.038
IRL,28,0.471
IRL,29T30,0.014
IRL,31T33,0.269
IRL,35,9.932
IRL,36T39,0.035
IRL,41T43,0.412
IRL,45T47,0.571
IRL,49,0.407
IRL,50,0.536
IRL,51,18.062
IRL,52,0.05
IRL,53,0.03
IRL,55T56,0.056
IRL,58T60,0.202
IRL,61,0.036
IRL,62T63,0.58
IRL,64T66,0.326
IRL,68,0.126
IRL,69T75,0.164
IRL,77T82,0.3
IRL,84,0.197
IRL,85,0.08
IRL,86T88,0.386
IRL,90T93,0.049
IRL,94T98,0.031
ISL,01T02,0.7115015000000001
ISL,03,0.644
ISL,05T06,0.0
ISL,07T08,0.003
ISL,10T12,0.012
ISL,13T15,0.0
ISL,16,0.0
ISL,17T18,0.0
ISL,19,0.001
ISL,20,0.0152873999999999
ISL,21,0.0
ISL,22,0.001
ISL,23,0.00319935
ISL,24,1.6414201749999997
ISL,25,0.002
ISL,26,0.0
ISL,27,0.0
ISL,28,0.002
ISL,29T30,0.0
ISL,31T33,0.007
ISL,35,0.006
ISL,36T39,0.017
ISL,41T43,0.099
ISL,45T47,0.028
ISL,49,0.09
ISL,50,0.614
ISL,51,2.473
ISL,52,0.024
ISL,53,0.004
ISL,55T56,0.004
ISL,58T60,0.002
ISL,61,0.009
ISL,62T63,0.001
ISL,64T66,0.002
ISL,68,0.002
ISL,69T75,0.003
ISL,77T82,0.034
ISL,84,0.008
ISL,85,0.001
