col_country,col_sector,value
AUS,64T66,123501.28411580592
AUS,68,151576.56661080796
AUS,69T75,72363.58629218725
AUS,77T82,56537.801664328435
AUS,84,74041.3914251103
AUS,85,66833.29280218991
AUS,86T88,99757.84104484173
AUS,90T93,19215.695443623532
AUS,94T98,17801.286301589626
AUT,01T02,5655.592274122778
AUT,03,38.44727812777157
AUT,05T06,798.8574517326563
AUT,07T08,708.8222246922784
AUT,10T12,8328.026773898979
AUT,13T15,1326.0252646370277
AUT,16,3423.8550959383665
AUT,17T18,3795.604628641582
AUT,19,1545.3973353639249
AUT,20,3730.004846545695
AUT,21,2828.207243446521
AUT,22,3309.506588724319
AUT,23,3507.107922736265
AUT,24,6303.488996945625
AUT,25,8089.618803794994
AUT,26,4941.692409852525
AUT,27,6891.332946323413
AUT,28,11870.236451000146
AUT,29T30,7423.005384127009
AUT,31T33,6466.913546139878
AUT,35,9483.83369303447
AUT,36T39,4470.300139371457
AUT,41T43,29315.232502817766
AUT,45T47,49335.44922558339
AUT,49,12844.903726338644
AUT,50,152.3763079469228
AUT,51,1457.3983624478574
AUT,52,9329.801516464238
AUT,53,1757.2689557305423
AUT,55T56,22373.121120399537
AUT,58T60,3121.9925929894935
AUT,61,3660.4764592568017
AUT,62T63,8371.998117100138
AUT,64T66,16895.44694165107
AUT,68,41299.43942892658
AUT,69T75,22600.39793781836
AUT,77T82,18721.777300040078
AUT,84,20998.506359628038
AUT,85,22055.32874370229
AUT,86T88,29637.668708578312
AUT,90T93,5244.2613685719625
AUT,94T98,6488.557269903931
BEL,01T02,3290.69546146028
BEL,03,72.32170744590069
BEL,05T06,12.74798318802561
BEL,07T08,381.8358652778709
BEL,10T12,11416.020069357473
BEL,13T15,2168.2328754095497
BEL,16,1330.9391301686646
BEL,17T18,2699.71267959083
BEL,19,4443.476725410448
BEL,20,13322.605650932015
BEL,21,10430.068809802062
BEL,22,3769.673313192201
BEL,23,3773.7879938378837
BEL,24,5395.164844935462
BEL,25,5470.059359439803
BEL,26,2165.978242152699
BEL,27,1479.5591052452996
BEL,28,5391.635194255621
BEL,29T30,4831.044017916978
BEL,31T33,4369.27714918519
BEL,35,7516.602632443231
BEL,36T39,5486.805400123332
BEL,41T43,32999.33379337171
BEL,45T47,65931.47222795282
BEL,49,12970.228168817348
BEL,50,1358.9952474224092
BEL,51,2099.7081562105604
BEL,52,13836.65152240248
BEL,53,2644.156724611662
BEL,55T56,10770.393141675202
BEL,58T60,4470.1656644397535
BEL,61,8372.220537084237
BEL,62T63,14606.641562302513
BEL,64T66,50300.69271701356
BEL,68,50528.902046351825
BEL,69T75,58414.5632235576
BEL,77T82,29540.03315769356
BEL,84,41063.63069966816
BEL,85,36382.58644682332
BEL,86T88,39348.31970255567
BEL,90T93,4132.123820811105
BEL,94T98,7603.168927447486
BGR,01T02,2411.486201016266
BGR,03,17.114271529638103
BGR,05T06,325.9231760231571
BGR,07T08,787.616437605162
BGR,10T12,1734.4265524795728
BGR,13T15,928.8036129511659
BGR,16,186.8531929354299
BGR,17T18,401.14056874829225
BGR,19,163.41424145441442
BGR,20,494.56237345961085
BGR,21,292.891953189905
BGR,22,533.9526312837017
BGR,23,542.5657277744476
BGR,24,609.073961004432
BGR,25,1005.491780060305
BGR,26,277.6608347518038
BGR,27,580.7547935244211
BGR,28,712.747103477521
BGR,29T30,496.3011231021612
BGR,31T33,942.109996626006
BGR,35,1841.9995650182514
BGR,36T39,592.0436359940026
BGR,41T43,2611.0309897822854
BGR,45T47,8796.739365595571
BGR,49,2566.265189797203
BGR,50,57.83695635998561
BGR,51,179.27465366851095
BGR,52,949.2592995046768
BGR,53,215.23705557744307
BGR,55T56,1580.7047644939562
BGR,58T60,556.7466680590005
BGR,61,1118.233949073719
BGR,62T63,2293.642354638644
BGR,64T66,3819.003966245551
BGR,68,6036.761064369259
BGR,69T75,2260.486815675122
BGR,77T82,1536.6706089966515
BGR,84,3730.6051532765955
BGR,85,2258.7006822020785
BGR,86T88,2291.38003673766
BGR,90T93,894.8533059330364
BGR,94T98,663.8447490590447
BRA,01T02,88760.4765817897
BRA,03,6635.164859203246
BRA,05T06,29149.516240120087
BRA,07T08,21542.417470720146
BRA,10T12,48713.355459943064
BRA,13T15,18611.159423633417
BRA,16,3531.2689517602103
BRA,17T18,12986.536460386862
BRA,19,28038.473775604347
BRA,20,20710.635848626953
BRA,21,9781.230325617207
BRA,22,10065.073832053375
BRA,23,7889.4736041334
BRA,24,11326.718093491225
BRA,25,9983.571430280976
BRA,26,6871.421260887539
BRA,27,6783.219419555549
BRA,28,11555.332289949602
BRA,29T30,24880.75965044229
BRA,31T33,18141.74174747248
BRA,35,41229.69794063649
BRA,36T39,14036.748553756643
BRA,41T43,72641.57754092301
BRA,45T47,212054.84236568018
BRA,49,52072.42271867322
BRA,50,3024.363048716077
BRA,51,3882.250157805979
BRA,52,16266.676496785794
BRA,53,5612.27287565255
BRA,55T56,44025.456680201685
BRA,58T60,7519.070202346678
BRA,61,20627.808127484648
BRA,62T63,30420.81103867855
BRA,64T66,113698.5700608006
BRA,68,160267.59071998476
BRA,69T75,74938.39991405251
BRA,77T82,57652.01838633363
BRA,84,168180.4020510449
BRA,85,108032.02398332921
BRA,86T88,72460.26534081937
BRA,90T93,5717.76671690705
BRA,94T98,53359.022203802946
BRN,01T02,68.89511131088726
BRN,03,2.5016175827294163
BRN,05T06,6590.81361230113
BRN,07T08,49.901429666387074
BRN,10T12,16.83339849760577
BRN,13T15,47.520757170444995
BRN,16,2.3840955704774736
BRN,17T18,6.860334272228512
BRN,19,1246.8885029635005
BRN,20,37.458844256460736
BRN,21,0.13274257084673013
BRN,22,6.867096370639533
BRN,23,13.728768775890103
BRN,24,16.080911655703822
BRN,25,5.292750088723363
BRN,26,3.748014400097013
BRN,27,8.360662831972999
BRN,28,8.103023160614693
BRN,29T30,74.81949157707635
BRN,31T33,6.9405449396001515
BRN,35,66.85687292188368
BRN,36T39,49.23914254126864
BRN,41T43,226.0637283396345
BRN,45T47,689.5671107277681
BRN,49,24.389726209306296
BRN,50,77.20595978880527
BRN,51,139.78429544116437
BRN,52,40.49791099855693
BRN,53,6.924565983911339
BRN,55T56,89.67610502455935
BRN,58T60,31.429434525962684
BRN,61,217.0515186404001
BRN,62T63,7.490295778370728
BRN,64T66,838.0050470256729
BRN,68,326.5678354768472
BRN,69T75,297.91908845326486
BRN,77T82,40.65786377425596
BRN,84,1573.5736376205973
BRN,85,479.4954413843326
BRN,86T88,199.85339335582648
BRN,90T93,1.002005293915321
BRN,94T98,24.31512843743713
CAN,01T02,31247.751140231303
CAN,03,2589.9451037300273
CAN,05T06,66366.08772009498
CAN,07T08,19634.37075383935
CAN,10T12,28750.284239091183
CAN,13T15,2146.152282178494
CAN,16,9132.200849463617
CAN,17T18,11163.082968811279
CAN,19,10773.28466114834
CAN,20,13177.289797127298
CAN,21,4382.458539485041
CAN,22,9011.246854583305
CAN,23,6625.674013150507
CAN,24,10374.762704386412
CAN,25,12534.59022312954
CAN,26,5429.569301732971
CAN,27,3389.2507360706422
CAN,28,12993.968119436526
CAN,29T30,29132.51900492143
CAN,31T33,14051.460557806075
CAN,35,32894.258294679224
CAN,36T39,8818.650126474131
CAN,41T43,125295.86144058954
CAN,45T47,176706.31321221014
CAN,49,43111.432319829684
CAN,50,1578.770855215736
CAN,51,9174.140475834243
CAN,52,18247.585984728863
CAN,53,6973.708509335575
CAN,55T56,39016.64001888905
CAN,58T60,16220.035787623496
CAN,61,29842.358910322135
CAN,62T63,31302.148242028812
CAN,64T66,118052.27374249022
CAN,68,198662.96430878463
CAN,69T75,71989.15516491985
CAN,77T82,51891.506791100095
CAN,84,117316.44392934452
CAN,85,88675.70329703677
CAN,86T88,121119.95352430383
CAN,90T93,13542.727808160502
CAN,94T98,21517.93979422102
CHE,01T02,4873.0228550677875
CHE,03,36.1495897735878
CHE,05T06,344.65815602449374
CHE,07T08,485.3443304700231
CHE,10T12,14542.140790598998
CHE,13T15,1263.0895813263248
CHE,16,3198.546513672026
CHE,17T18,2533.5880348963083
CHE,19,4908.512390018277
CHE,20,3589.5900349277745
CHE,21,38023.130976176784
CHE,22,3016.7891306038155
CHE,23,2483.2545998869327
CHE,24,1828.5482234285673
CHE,25,9321.223625732395
CHE,26,21996.174897361067
CHE,27,5146.938355308372
CHE,28,12572.192291049803
CHE,29T30,2805.4464157098364
CHE,31T33,6793.708293298603
CHE,35,9679.918460755209
CHE,36T39,2084.5214924969455
CHE,41T43,37113.50585627545
CHE,45T47,99417.48920777698
CHE,49,12672.457090738098
CHE,50,7484.239464427123
CHE,51,2501.9513120855
CHE,52,5089.021625529918
CHE,53,2894.9039523662536
CHE,55T56,12012.153935372917
CHE,58T60,3446.2900989537734
CHE,61,8420.039176193492
CHE,62T63,16768.681062131902
CHE,64T66,66520.54551131217
CHE,68,51689.83965103106
CHE,69T75,52502.82632736868
CHE,77T82,19950.230696547926
CHE,84,72661.70710007986
CHE,85,4104.77510252777
CHE,86T88,55159.943402015706
CHE,90T93,7526.065018712385
CHE,94T98,12278.129652792319
CHL,01T02,9419.610067184216
CHL,03,2000.4865084094636
CHL,05T06,241.04189193995134
CHL,07T08,15752.150791683443
CHL,10T12,12826.647707175744
CHL,13T15,558.9071210466936
CHL,16,1449.380168369832
CHL,17T18,3598.450952342235
CHL,19,429.38246975942184
CHL,20,2019.2949766137417
CHL,21,754.5288664732582
CHL,22,1006.0792617784559
CHL,23,944.9438255227769
CHL,24,14589.559068409771
CHL,25,1813.5424088803638
CHL,26,811.3747033730206
CHL,27,200.71292875631195
CHL,28,969.8934984010814
CHL,29T30,1074.5023030283483
CHL,31T33,1398.6517992134882
CHL,35,7071.855680335431
CHL,36T39,2106.7658351916034
CHL,41T43,20569.44117582263
CHL,45T47,29430.61518597863
CHL,49,8047.40800996946
CHL,50,414.12722094886567
CHL,51,1705.0418427806726
CHL,52,5257.274192343624
CHL,53,375.9883045076981
CHL,55T56,7048.576781482942
CHL,58T60,1749.8210076783225
CHL,61,2188.16386829992
CHL,62T63,3095.729406411385
CHL,64T66,14231.729694154377
CHL,68,24869.792762544836
CHL,69T75,19350.198669321057
CHL,77T82,10613.262396613625
CHL,84,14700.055485085968
CHL,85,15816.605605821695
CHL,86T88,15180.787273664071
CHL,90T93,2731.2484446252806
CHL,94T98,3370.0225241223993
CHN,01T02,825064.0240236595
CHN,03,96939.48709206205
CHN,05T06,232995.27255237597
CHN,07T08,102971.37859001296
CHN,10T12,413390.1760458136
CHN,13T15,242343.83734184387
CHN,16,54424.97970272228
CHN,17T18,124864.13859676168
CHN,19,176280.24748005916
CHN,20,358726.0353345446
CHN,21,123145.10229920154
CHN,22,119944.20967708091
CHN,23,361454.7007173494
CHN,24,470503.7856619512
CHN,25,233771.73321738932
CHN,26,325312.36338652833
CHN,27,204656.04047200293
CHN,28,278844.920291192
CHN,29T30,361981.95958691067
CHN,31T33,122745.12012206172
CHN,35,345082.82063794346
CHN,36T39,79441.62116491642
CHN,41T43,982097.3864939678
CHN,45T47,1330835.6397676799
CHN,49,411513.6751781361
CHN,50,42813.96131308151
CHN,51,56227.48302223833
CHN,52,76931.58004445097
CHN,53,50938.5258117942
CHN,55T56,258357.5040710477
CHN,58T60,44290.10303189313
CHN,61,122258.83485495826
CHN,62T63,260184.0058779153
CHN,64T66,1059005.9073240561
CHN,68,960418.7012405412
CHN,69T75,312544.1394856855
CHN,77T82,440103.5530313032
CHN,84,644315.3438196954
CHN,85,497033.66540722747
CHN,86T88,308854.9028781686
CHN,90T93,98908.7826718367
CHN,94T98,230938.07750119676
COL,01T02,20638.72774288062
COL,03,660.8594546626882
COL,05T06,18307.73120834054
COL,07T08,1910.5903239665822
COL,10T12,11653.168915730796
COL,13T15,3875.1016933210976
COL,16,369.00725793281845
COL,17T18,1867.881005437754
COL,19,6224.058275928714
COL,20,3651.4233768913946
COL,21,1449.6487190812254
COL,22,1106.212096547135
COL,23,4312.036051082453
COL,24,1355.366264552547
COL,25,1000.5465830616847
COL,26,21.565713587762637
COL,27,754.3724214738963
COL,28,217.55701963322792
COL,29T30,982.8663503879866
COL,31T33,3083.107192358489
COL,35,7908.868176192413
COL,36T39,3490.778619820686
COL,41T43,23778.214289485775
COL,45T47,30356.893098438202
COL,49,12412.447773494207
COL,50,120.32084833237181
COL,51,1937.179910443469
COL,52,3132.9420532672884
COL,53,396.17579084117295
COL,55T56,14393.163486907473
COL,58T60,865.1529578266886
COL,61,5956.206370011643
COL,62T63,3073.2281512564914
COL,64T66,14747.903911396996
COL,68,29394.822473937296
COL,69T75,10680.735329664964
COL,77T82,12520.154420106024
COL,84,21008.684277992088
COL,85,16222.38614131496
COL,86T88,13624.598846045503
COL,90T93,3301.577527725405
COL,94T98,4703.759198534376
CRI,01T02,2722.805566295084
CRI,03,41.99261462210211
CRI,05T06,3.454338430316982
CRI,07T08,200.5852364631304
CRI,10T12,2921.3931220597387
CRI,13T15,187.8475612703197
CRI,16,90.51962435116431
CRI,17T18,326.3309515018112
CRI,19,194.15511192465908
CRI,20,413.92106386686635
CRI,21,134.58564477351584
CRI,22,135.4952680587042
CRI,23,372.9225187415681
CRI,24,104.36154463788944
CRI,25,189.71273381891783
CRI,26,66.11385472637413
CRI,27,210.10409389557486
CRI,28,13.917471289602268
CRI,29T30,25.03753587567046
CRI,31T33,2275.1028903472957
CRI,35,1213.4902788630052
CRI,36T39,440.843036141733
CRI,41T43,3034.048333429404
CRI,45T47,5663.105401608404
CRI,49,1420.1524986533418
CRI,50,265.13604008948556
CRI,51,288.8748242833791
CRI,52,838.8931761803885
CRI,53,202.18980855947845
CRI,55T56,2133.463972021392
CRI,58T60,241.2596183200576
CRI,61,1012.2149075037638
CRI,62T63,1663.456942589372
CRI,64T66,3366.8447097242115
CRI,68,4896.934601882825
CRI,69T75,4168.71954227527
CRI,77T82,2916.512854672518
CRI,84,2624.213373173941
CRI,85,4587.528906129203
CRI,86T88,3830.7375161945756
CRI,90T93,562.1893106842996
CRI,94T98,1571.8891932717347
CYP,01T02,466.43020193596004
CYP,03,41.58867000236647
CYP,05T06,8.680524442807638
CYP,07T08,14.457644239249724
CYP,10T12,477.48398223677486
CYP,13T15,18.344134878041814
CYP,16,63.621267570784426
CYP,17T18,50.63826063993292
CYP,19,5.225660152280099
CYP,20,31.222005428464257
CYP,21,153.8073334938549
CYP,22,36.173116226087295
CYP,23,144.21837086375558
CYP,24,21.16239639364182
CYP,25,119.76356939219801
CYP,26,24.632488280832014
CYP,27,14.488475437224718
CYP,28,27.37860797129632
CYP,29T30,7.449463086436026
CYP,31T33,163.13774184736985
CYP,35,358.24926731716215
CYP,36T39,181.72561042765295
CYP,41T43,1510.142991379881
CYP,45T47,2439.504638912722
CYP,49,221.31916359598517
CYP,50,654.9083180907301
CYP,51,29.096435964056838
CYP,52,627.3608943933077
CYP,53,48.271414611925046
CYP,55T56,1570.7978551624333
CYP,58T60,398.50621742589465
CYP,61,401.72315111848053
CYP,62T63,568.2016522129293
CYP,64T66,2093.2620567735694
CYP,68,2133.113599468757
CYP,69T75,1761.2469486616285
CYP,77T82,419.26993379452875
CYP,84,1869.9483808024531
CYP,85,1281.7510698188241
CYP,86T88,862.8393664091816
CYP,90T93,407.5696008310954
CYP,94T98,575.1420026474855
CZE,01T02,5236.190275261288
CZE,03,27.310271614924694
CZE,05T06,1124.5550703607805
CZE,07T08,404.96730105395557
CZE,10T12,5133.761262925022
CZE,13T15,1274.38409112419
CZE,16,1475.8575017080234
CZE,17T18,1650.0066214072226
CZE,19,369.08993303242823
CZE,20,2213.128633695126
CZE,21,928.4595448020705
CZE,22,4337.494541349057
CZE,23,2597.310637337753
CZE,24,2093.4658563642543
CZE,25,6518.032034843112
CZE,26,3391.1891350341757
CZE,27,4491.588666173493
CZE,28,5098.881784541878
CZE,29T30,13350.521713695482
CZE,31T33,4073.5042492588454
CZE,35,6273.958330521211
CZE,36T39,2514.9269773847936
CZE,41T43,12981.950543115017
CZE,45T47,26534.861913389395
CZE,49,8251.355445468142
CZE,50,23.458656831961633
CZE,51,557.6598715462469
CZE,52,4983.313613029691
CZE,53,796.5882167526556
CZE,55T56,4980.899312198743
CZE,58T60,2505.7280409694927
CZE,61,3025.402504941502
CZE,62T63,6906.096379301404
CZE,64T66,9034.253336596372
CZE,68,19780.540613919802
CZE,69T75,11469.421920353156
CZE,77T82,4396.911991058585
CZE,84,14145.65122363868
CZE,85,10003.627747091356
CZE,86T88,10380.788412623264
CZE,90T93,2322.1323483932497
CZE,94T98,2680.0228580427765
DEU,01T02,28466.350957051523
DEU,03,334.98003569920013
DEU,05T06,2751.4011701465142
DEU,07T08,2803.173049839516
DEU,10T12,64504.3830966847
DEU,13T15,10558.317143820797
DEU,16,8785.58693531693
DEU,17T18,23345.573555947376
DEU,19,11306.776855370845
DEU,20,61798.194296825954
DEU,21,32303.050572350126
DEU,22,38105.45359981788
DEU,23,23692.734453052093
DEU,24,29845.86414342797
DEU,25,71220.320397671
DEU,26,54120.83303509094
DEU,27,56821.16257617943
DEU,28,131635.5746190452
DEU,29T30,196319.64108243556
DEU,31T33,50738.46383589346
DEU,35,77715.8541134578
DEU,36T39,41869.385079459906
DEU,41T43,186130.6982446984
DEU,45T47,368521.3860913996
DEU,49,65426.35541861834
DEU,50,10487.53473540819
DEU,51,12184.482814646904
DEU,52,66178.23810566816
DEU,53,21083.335472924337
DEU,55T56,60014.97971672643
DEU,58T60,38970.29869500319
DEU,61,33795.22592058041
DEU,62T63,106696.99773319451
DEU,64T66,143972.7478937079
DEU,68,384961.63371945254
DEU,69T75,241605.24874319468
DEU,77T82,192339.10601401672
DEU,84,226329.52072869593
DEU,85,164444.6654442133
DEU,86T88,283008.9702406982
DEU,90T93,50255.04446663488
DEU,94T98,89913.07486309353
DNK,01T02,3724.7220413723244
DNK,03,514.1162765712241
DNK,05T06,3364.3470282501485
DNK,07T08,154.8989829013526
DNK,10T12,6302.599783876285
DNK,13T15,624.9368792242667
DNK,16,711.5349733953121
DNK,17T18,947.7198058310751
DNK,19,1367.9060966281759
DNK,20,3436.640335479963
DNK,21,11759.586227358142
DNK,22,1534.1927711763765
DNK,23,1756.3294061665042
DNK,24,595.8113608919425
DNK,25,2934.053448641311
DNK,26,3072.611302206962
DNK,27,1388.2882657083776
DNK,28,7493.280500241832
DNK,29T30,860.3653168548358
DNK,31T33,5089.122565181603
DNK,35,4218.689414305987
DNK,36T39,2919.2481337197646
DNK,41T43,20865.426582100103
DNK,45T47,40754.23887348829
DNK,49,5835.937461175306
DNK,50,6149.312426814769
DNK,51,1158.7486213850038
DNK,52,4213.038359365768
DNK,53,977.7044160946218
DNK,55T56,5556.727555147409
DNK,58T60,4604.085393457209
DNK,61,3055.3728305117943
DNK,62T63,7294.7605766963525
DNK,64T66,17718.920878501245
DNK,68,31785.22217041267
DNK,69T75,21267.337240877416
DNK,77T82,10845.923729751283
DNK,84,15346.210403154637
DNK,85,19092.76710548124
DNK,86T88,32538.94274895688
DNK,90T93,5019.532627629909
DNK,94T98,5511.189421868075
ESP,01T02,39420.76873517652
ESP,03,1914.5041384563494
ESP,05T06,1330.9958756562069
ESP,07T08,2153.059035408719
ESP,10T12,33376.31650154659
ESP,13T15,11561.450079544262
ESP,16,2668.2309974268846
ESP,17T18,7981.1710343294035
ESP,19,5736.724873706924
ESP,20,13004.61230862757
ESP,21,8221.424766713073
ESP,22,7868.752641185783
ESP,23,7371.734042477305
ESP,24,8772.665626386046
ESP,25,14376.913414946288
ESP,26,2248.513444747069
ESP,27,6182.061915249453
ESP,28,8906.447759020164
ESP,29T30,24029.226202337726
ESP,31T33,14304.436848733301
ESP,35,29208.13413870184
ESP,36T39,15779.289830621256
ESP,41T43,84844.32161233985
ESP,45T47,171607.80679344732
ESP,49,32872.713462086525
ESP,50,1143.2538632142416
ESP,51,4592.237721253634
ESP,52,23477.47131383259
ESP,53,2821.6367854653195
ESP,55T56,83882.56018080114
ESP,58T60,10942.221900432794
ESP,61,18032.31536249104
ESP,62T63,21628.16495473303
ESP,64T66,53470.184309182354
ESP,68,150463.14394484923
ESP,69T75,63209.484802905936
ESP,77T82,57282.02391885147
ESP,84,80421.68807998397
ESP,85,67473.31428782706
ESP,86T88,87160.50688122195
ESP,90T93,26476.037371100712
ESP,94T98,36969.589454268964
EST,01T02,862.1618323838875
EST,03,53.98049546862499
EST,05T06,230.79611271107774
EST,07T08,92.59480946535888
EST,10T12,544.1611945430805
EST,13T15,251.4214462672499
EST,16,701.5080676338025
EST,17T18,203.4464574198043
EST,19,103.64130232544798
EST,20,170.49708451040328
EST,21,21.057347899915996
EST,22,176.39240596362748
EST,23,282.64371311203695
EST,24,24.90727757601877
EST,25,532.7350952828101
EST,26,246.49647246763766
EST,27,283.0809923927535
EST,28,191.65086779544225
EST,29T30,211.15740814936805
EST,31T33,564.3988815038952
EST,35,1014.994063019303
EST,36T39,189.67939501340138
EST,41T43,2120.396736050511
EST,45T47,3265.143301939139
EST,49,1046.543671318841
EST,50,199.6204221239866
EST,51,52.564713678295846
EST,52,1043.8879599921736
EST,53,84.08357129734071
EST,55T56,565.9414634923008
EST,58T60,215.13923814369772
EST,61,417.71726100151045
EST,62T63,1088.7045932285077
EST,64T66,1094.343297542297
EST,68,2922.178695892407
EST,69T75,1485.7326494673912
EST,77T82,1014.0117766785639
EST,84,1866.1227980814206
EST,85,1347.050332159446
EST,86T88,1163.8010106881957
EST,90T93,444.7628176434163
EST,94T98,257.43053076885883
FIN,01T02,6843.383722912671
FIN,03,153.71701863638566
FIN,05T06,272.82882847829234
FIN,07T08,1012.9063431830475
FIN,10T12,3375.516550579341
FIN,13T15,551.5502605275549
FIN,16,1804.1217671230688
FIN,17T18,5419.72259448634
FIN,19,2739.095785726491
FIN,20,3288.4037556226112
FIN,21,1883.289268249299
FIN,22,1398.2526616238142
FIN,23,1520.522535103666
FIN,24,2430.9372312129562
FIN,25,3463.7157176612864
FIN,26,4359.546817769633
FIN,27,2288.281284605908
FIN,28,6867.222316504967
FIN,29T30,1655.8312752830752
FIN,31T33,2864.7574865325464
FIN,35,5366.533292996179
FIN,36T39,2372.1164777877407
FIN,41T43,19357.506200924327
FIN,45T47,22444.114715231208
FIN,49,6979.853946527691
FIN,50,1051.4168310619327
FIN,51,1477.1634121129255
FIN,52,3316.5414077444075
FIN,53,880.8630968337402
FIN,55T56,4603.432836268753
FIN,58T60,4125.512074262154
FIN,61,2930.791205266968
FIN,62T63,7576.853049348892
FIN,64T66,8173.832346826192
FIN,68,31647.11543827387
FIN,69T75,12882.089980147495
FIN,77T82,9308.830559306727
FIN,84,14200.740976088066
FIN,85,12359.381679895161
FIN,86T88,23275.26051372144
FIN,90T93,3271.643270456098
FIN,94T98,4497.224482846722
FRA,01T02,47823.808253975054
FRA,03,1066.0009321153573
FRA,05T06,363.7457313297151
FRA,07T08,2078.6304778673243
FRA,10T12,53124.79551074054
FRA,13T15,6585.916747513564
FRA,16,4200.543772943525
FRA,17T18,11485.874494960488
FRA,19,7673.496562615532
FRA,20,29034.82145104371
FRA,21,15323.694080070181
FRA,22,13743.001281756297
FRA,23,10439.04801953146
FRA,24,9134.471937812708
FRA,25,24944.847737130665
FRA,26,15611.455849825223
FRA,27,8495.234833514829
FRA,28,15192.339087049895
FRA,29T30,39040.186303052586
FRA,31T33,36301.98604254713
FRA,35,50205.15521980252
FRA,36T39,20247.49681796185
FRA,41T43,153032.5944933146
FRA,45T47,267802.16070334625
FRA,49,59016.68356459529
FRA,50,3914.077532747131
FRA,51,11767.45418412558
FRA,52,38520.2345728422
FRA,53,10515.975138048274
FRA,55T56,75061.81307303796
FRA,58T60,32562.66612824407
FRA,61,32181.88607389829
FRA,62T63,75290.46678268892
FRA,64T66,106925.46748092587
FRA,68,323400.05926865025
FRA,69T75,217773.14299739833
FRA,77T82,151318.63571264897
FRA,84,197510.15955642087
FRA,85,134700.06889017046
FRA,86T88,231255.67930545978
FRA,90T93,37009.948921053845
FRA,94T98,38237.80683280892
GBR,01T02,17679.120605078977
GBR,03,802.4116122207472
GBR,05T06,26794.670944930327
GBR,07T08,2883.2445777662197
GBR,10T12,44508.55224791795
GBR,13T15,9651.853155553388
GBR,16,4112.9356015417015
GBR,17T18,13591.112475395894
GBR,19,5408.702502797496
GBR,20,16791.480407105366
GBR,21,17964.849950593107
GBR,22,11333.83539900645
GBR,23,8389.605518230775
GBR,24,5692.855766326504
GBR,25,22193.70318351004
GBR,26,18729.550077778633
GBR,27,6867.289817147299
GBR,28,22811.639618476373
GBR,29T30,45382.11602988081
GBR,31T33,25659.144527718538
GBR,35,41126.64267165467
GBR,36T39,34218.64386398893
GBR,41T43,185414.3104159857
GBR,45T47,280839.18768268835
GBR,49,44320.41841442621
GBR,50,10740.969226510444
GBR,51,12963.396270593676
GBR,52,33922.522994637686
GBR,53,16922.710600080125
GBR,55T56,79686.08669286506
GBR,58T60,45875.92380426085
GBR,61,47250.24184148787
GBR,62T63,81388.68737305605
GBR,64T66,186861.84363130992
GBR,68,348294.6969664797
GBR,69T75,199493.43359156445
GBR,77T82,140422.59301850974
GBR,84,131165.76709789957
GBR,85,147319.983715204
GBR,86T88,198764.51455360724
GBR,90T93,42948.84293711872
GBR,94T98,54252.72346102669
GRC,01T02,7811.137586942691
GRC,03,753.1468381348983
GRC,05T06,138.00575293276967
GRC,07T08,757.7031657567147
GRC,10T12,6475.678213281115
GRC,13T15,719.4328226843668
GRC,16,122.04146909356609
