country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CHN,692423739.0,705042238.0,713343974.0,719231395.0,725914219.0,734745332.0,738908733.0,745095910.0,752357567.0,758741112.0,763719669.0,768097158.0,771363502.0,773625799.0,774904798.0,775372805.0,778868116.0,783086506.0,786784708.0,789526606.0,791293488.0,792205319.0,792758868.0,791646536.0
COL,16188119.0,16571539.0,16997117.0,17389551.0,17692384.0,18122165.0,18562289.0,18959988.0,19518085.0,19513046.0,19705003.0,19817287.0,19931023.0,20484028.0,21750089.0,22438334.0,23074243.0,23782561.0,24040660.0,24476296.0,25054594.0,25430737.0,25865153.0,26235986.0
CRI,1389635.0,1387343.0,1485846.0,1571738.0,1609637.0,1623241.0,1731137.0,1767945.0,1816458.0,1829125.0,1942026.0,1977704.0,2049810.0,2083033.0,2106451.0,2107936.0,2123460.0,2294368.0,2316937.0,2343178.0,2338014.0,2273159.0,2336895.0,2445741.0
CYP,389724.0,400518.0,411882.0,420647.0,431943.0,445198.0,465308.0,475452.0,494580.0,509225.0,518120.0,531573.0,546788.0,557577.0,570827.0,585706.0,585576.0,589090.0,593733.0,604638.0,604274.0,603102.0,611106.0,625731.0
CZE,5159308.0,5156499.0,5134717.0,5155992.0,5184244.0,5153680.0,5132081.0,5134022.0,5128047.0,5125016.0,5180625.0,5186263.0,5186065.0,5205457.0,5249468.0,5241405.0,5233081.0,5269982.0,5323134.0,5324487.0,5337247.0,5388300.0,5419903.0,5452943.0
DEU,39800857.0,39820180.0,40048776.0,40076956.0,40290378.0,40251177.0,40334537.0,40451099.0,40653163.0,40559921.0,41254074.0,41601159.0,41884471.0,41889046.0,41946316.0,42005791.0,41658239.0,41734548.0,42104556.0,42318972.0,42590797.0,43058646.0,43288289.0,43562285.0
DNK,2825968.0,2836650.0,2857206.0,2845644.0,2879014.0,2863243.0,2854693.0,2890687.0,2870525.0,2898501.0,2900793.0,2931398.0,2930831.0,2922413.0,2910409.0,2890450.0,2886698.0,2871547.0,2850268.0,2863193.0,2888656.0,2933273.0,2960274.0,2982472.0
ESP,16549924.0,16829562.0,17156870.0,17432865.0,17758807.0,18277071.0,18211898.0,19062141.0,19838783.0,20512253.0,21285000.0,21903811.0,22460014.0,23072041.0,23335479.0,23534138.0,23571937.0,23582846.0,23385043.0,23181794.0,23116192.0,23102718.0,23046661.0,23065836.0
EST,704343.0,693943.0,695432.0,680740.0,673757.0,679299.0,669081.0,654709.0,677787.0,678243.0,673799.0,693457.0,692000.0,697853.0,690538.0,683977.0,687756.0,684569.0,680794.0,675991.0,686206.0,695233.0,703706.0,705794.0
FIN,2474910.0,2457362.0,2503945.0,2522404.0,2566138.0,2586118.0,2608246.0,2623353.0,2620803.0,2611527.0,2627895.0,2661292.0,2690708.0,2718910.0,2689527.0,2679149.0,2692288.0,2698827.0,2684110.0,2687528.0,2695567.0,2688740.0,2709253.0,2742645.0
FRA,26390639.0,26716062.0,26687541.0,26855266.0,27157790.0,27360311.0,27428362.0,27764307.0,28324478.0,28503488.0,28785772.0,28940311.0,29187473.0,29400557.0,29646366.0,29744934.0,29747010.0,29982661.0,30128150.0,30070800.0,30155958.0,30220666.0,30287563.0,30438691.0
GBR,28419273.0,28519475.0,28693192.0,28764274.0,29051272.0,29296965.0,29262079.0,29590990.0,29872352.0,30149293.0,30597414.0,31044498.0,31253081.0,31667267.0,31852655.0,32039432.0,32227412.0,32582928.0,32899156.0,33196454.0,33483035.0,33799601.0,34011299.0,34331422.0
GRC,4529780.0,4627739.0,4653960.0,4787045.0,4862505.0,4897352.0,4840121.0,4895009.0,4944448.0,5035461.0,5033989.0,5049127.0,5027123.0,5014236.0,5045727.0,5044713.0,4984694.0,4944293.0,4894410.0,4839324.0,4825164.0,4822179.0,4812802.0,4804069.0
HRV,2091976.0,2054997.0,2035763.0,2024438.0,2007344.0,1981995.0,1898934.0,1872650.0,1884546.0,1935313.0,1935922.0,1921755.0,1936709.0,1941209.0,1937468.0,1913390.0,1875738.0,1855060.0,1834112.0,1885233.0,1887425.0,1828470.0,1821332.0,1794835.0
HUN,4183016.0,4079195.0,4011290.0,4066404.0,4139644.0,4160523.0,4147526.0,4150352.0,4221846.0,4202009.0,4273721.0,4304768.0,4287505.0,4259063.0,4258401.0,4299585.0,4316650.0,4369588.0,4403114.0,4527225.0,4617150.0,4685874.0,4714433.0,4732212.0
IDN,86837592.0,88974409.0,90461719.0,93520509.0,95875721.0,98570552.0,98977592.0,98795437.0,99698352.0,101661440.0,101406835.0,103518192.0,108975289.0,111341189.0,113074389.0,115646091.0,117856119.0,120696619.0,121497604.0,123120470.0,124657269.0,125958781.0,129204841.0,132587588.0
IND,355762854.0,363481576.0,371478400.0,379715280.0,388187397.0,396836569.0,406722321.0,416990135.0,427513796.0,438149349.0,449085795.0,451850201.0,454681299.0,457434579.0,460259988.0,462951194.0,463753497.0,464760493.0,469135490.0,473313171.0,477296180.0,481187327.0,484539161.0,487631036.0
IRL,1545888.0,1593839.0,1643047.0,1730230.0,1807565.0,1868665.0,1906350.0,1951540.0,1996514.0,2046543.0,2161417.0,2244396.0,2327581.0,2348537.0,2309811.0,2273937.0,2252958.0,2245011.0,2263744.0,2267426.0,2283088.0,2321777.0,2344215.0,2385518.0
ISL,155109.0,153707.0,153671.0,158872.0,164024.0,169243.0,171628.0,171169.0,172114.0,173092.0,174967.0,181720.0,187329.0,189969.0,187696.0,188670.0,187884.0,189218.0,193193.0,198705.0,203037.0,208267.0,210572.0,212896.0
ISR,2434321.0,2479910.0,2530681.0,2581479.0,2668670.0,2768157.0,2834925.0,2860781.0,2931500.0,3010834.0,3085530.0,3170975.0,3261728.0,3326750.0,3411485.0,3495104.0,3543276.0,3642686.0,3715106.0,3806531.0,3876859.0,3956081.0,4025082.0,4102566.0
ITA,22873532.0,22962081.0,22988175.0,23125172.0,23257745.0,23280458.0,23403759.0,23665701.0,23976861.0,24515472.0,24356055.0,24395026.0,24378950.0,24708566.0,24506451.0,24462579.0,24477992.0,25033693.0,25171796.0,25569875.0,25540323.0,25812534.0,25985393.0,26032169.0
JPN,66856477.0,67372482.0,67983534.0,68043306.0,67833639.0,67653961.0,67599932.0,67173004.0,67063142.0,66721958.0,66732911.0,66797644.0,67140152.0,67097473.0,66913176.0,66668692.0,66039729.0,65639410.0,65967826.0,66176723.0,66364638.0,66854062.0,67285071.0,68355056.0
KAZ,8060136.0,7975335.0,7871985.0,7780055.0,7729119.0,7698699.0,7690521.0,7714111.0,7762577.0,7806603.0,7952005.0,8084175.0,8229094.0,8439503.0,8573098.0,8721578.0,8808571.0,8893426.0,8972219.0,9061237.0,9115881.0,9071276.0,9004270.0,9034737.0
KHM,4600503.0,4743404.0,4943312.0,5172985.0,5422150.0,5594590.0,6182973.0,6353558.0,6474784.0,6547314.0,6765453.0,6996532.0,7223829.0,7457315.0,7689326.0,8133016.0,8375986.0,8326168.0,8238536.0,8401087.0,8528092.0,8909178.0,9049870.0,9185183.0
KOR,21397788.0,21800654.0,22336448.0,22026644.0,22327302.0,22819686.0,23201687.0,23654992.0,23677189.0,24165776.0,24304626.0,24542632.0,24794644.0,24941044.0,24932116.0,25273507.0,25696124.0,26094698.0,26415473.0,27165844.0,27578100.0,27823200.0,28136436.0,28303251.0
LAO,2180771.0,2223163.0,2268568.0,2315692.0,2364405.0,2414132.0,2469865.0,2524389.0,2580268.0,2640333.0,2705639.0,2780686.0,2858940.0,2939341.0,3020625.0,3101310.0,3182452.0,3265353.0,3347537.0,3427246.0,3503719.0,3577630.0,3649336.0,3719770.0
LTU,1766697.0,1747422.0,1727509.0,1710203.0,1712547.0,1682305.0,1643848.0,1628825.0,1683889.0,1594160.0,1553512.0,1511924.0,1511458.0,1512452.0,1522349.0,1503719.0,1495237.0,1484453.0,1473060.0,1481195.0,1470210.0,1482426.0,1469058.0,1472733.0
LVA,1188895.0,1175693.0,1171971.0,1147264.0,1120923.0,1090054.0,1090797.0,1115239.0,1096818.0,1098325.0,1093750.0,1119719.0,1135964.0,1150453.0,1106548.0,1063015.0,1035943.0,1041140.0,1020645.0,1006084.0,1008427.0,1006975.0,1003671.0,1000161.0
MAR,8549975.0,8698683.0,8955558.0,9162449.0,9405637.0,9633182.0,9840851.0,9979827.0,10269865.0,10499891.0,10654363.0,10781751.0,10952163.0,11106215.0,11315947.0,11518919.0,11722318.0,11761742.0,11856989.0,11840044.0,11815638.0,11780447.0,11742460.0,11914871.0
MEX,34590852.0,35479562.0,37200557.0,37920494.0,38278820.0,38989194.0,39451526.0,39990359.0,41048907.0,42274652.0,43772747.0,45215867.0,46262334.0,47054559.0,48003205.0,48835133.0,49848252.0,51365736.0,52135926.0,52543348.0,53579106.0,54395105.0,55135552.0,56255842.0
MLT,145785.0,148111.0,150078.0,152016.0,154088.0,156006.0,159292.0,160246.0,161252.0,158489.0,160881.0,163303.0,167380.0,169728.0,172299.0,176149.0,180330.0,186736.0,194975.0,202533.0,208235.0,215527.0,223541.0,236718.0
MMR,21088985.0,21470965.0,21873605.0,22275803.0,22606067.0,22871644.0,23079228.0,23255094.0,23383079.0,23485943.0,23564746.0,23600716.0,23641930.0,23705068.0,23772453.0,23864816.0,24088506.0,24299028.0,24503849.0,24711693.0,24926254.0,24612921.0,24285867.0,24691818.0
NLD,7374358.0,7471237.0,7668302.0,7811143.0,7963024.0,8159405.0,8307658.0,8443411.0,8481867.0,8539309.0,8387242.0,8433281.0,8607164.0,8767595.0,8853313.0,8829489.0,8849590.0,8961065.0,8987420.0,8966340.0,9034853.0,9051471.0,9110882.0,9228664.0
NOR,2216096.0,2268586.0,2329887.0,2375965.0,2380738.0,2405139.0,2416453.0,2438371.0,2408488.0,2422629.0,2431748.0,2466274.0,2523507.0,2599068.0,2598938.0,2607569.0,2626211.0,2671168.0,2697989.0,2722790.0,2762116.0,2769635.0,2763116.0,2799958.0
NZL,1816916.0,1868492.0,1888349.0,1894205.0,1909785.0,1928976.0,1966107.0,2027956.0,2065767.0,2121367.0,2178496.0,2230155.0,2265541.0,2286669.0,2302464.0,2324737.0,2353326.0,2362367.0,2393523.0,2468222.0,2520970.0,2620842.0,2708657.0,2756619.0
PER,9749470.0,10286160.0,10841383.0,11249714.0,11713687.0,11692073.0,12499022.0,13077927.0,13429469.0,13975001.0,13759131.0,14527741.0,15183486.0,15399987.0,15692704.0,16046725.0,16167033.0,16369958.0,16498668.0,16586669.0,16615223.0,17008002.0,17847718.0,18411999.0
PHL,26347806.0,27007916.0,27708748.0,28535047.0,29254194.0,29997563.0,30709971.0,31395613.0,31892849.0,32728949.0,33627928.0,34562187.0,35435880.0,36364918.0,37591310.0,38574079.0,39896838.0,40486054.0,41186690.0,42520248.0,43017633.0,43917347.0,43008404.0,43868087.0
POL,17392459.0,17333993.0,17195607.0,17231913.0,17165571.0,17320798.0,17574130.0,17378966.0,17299224.0,17266918.0,17529693.0,17325512.0,17329146.0,17563323.0,17831377.0,18036276.0,18103432.0,18227655.0,18269724.0,18388510.0,18315209.0,18378290.0,18444328.0,18390676.0
PRT,4820358.0,4882785.0,4978117.0,5127648.0,5183785.0,5252469.0,5358185.0,5444628.0,5469569.0,5451962.0,5505954.0,5532331.0,5553304.0,5547731.0,5492080.0,5489663.0,5431231.0,5388428.0,5296912.0,5240929.0,5216570.0,5203952.0,5248383.0,5267812.0
ROU,12279833.0,11923590.0,11976446.0,11812222.0,11821354.0,11759446.0,11398822.0,10266955.0,9965958.0,9905676.0,9603716.0,9752730.0,9570877.0,9347339.0,9224754.0,9368823.0,9179951.0,9226931.0,9184433.0,9210744.0,9114394.0,8951574.0,9109297.0,9055051.0
RUS,71660095.0,70897544.0,69592688.0,68860327.0,72934201.0,73312711.0,72007908.0,72965302.0,72845411.0,73570474.0,74140576.0,74432744.0,75462934.0,76004240.0,76014194.0,75880788.0,76029233.0,75820113.0,75450405.0,75248203.0,75016901.0,74937520.0,74182813.0,73825997.0
SAU,5584939.0,5668143.0,5765115.0,5878024.0,6025824.0,6358516.0,6571827.0,6850760.0,7198758.0,7571126.0,7953098.0,8298908.0,8645078.0,8980039.0,9320115.0,9882982.0,10563652.0,11305894.0,11980178.0,12556105.0,13187034.0,13608239.0,13839632.0,14020758.0
SGP,9972710.0,10306055.0,10648766.0,11053406.0,11369999.0,11700173.0,12031050.0,12291091.0,12542274.0,12861842.0,13241640.0,13611010.0,14027402.0,14425865.0,14887191.0,15272962.0,15917058.0,16546082.0,17216731.0,17650223.0,18068819.0,18354614.0,18652081.0,19016729.0
SVK,2481237.0,2515992.0,2517218.0,2525045.0,2551704.0,2585035.0,2633108.0,2623926.0,2658274.0,2674080.0,2662165.0,2653642.0,2650409.0,2681978.0,2672080.0,2683556.0,2686049.0,2710897.0,2718461.0,2724189.0,2739823.0,2763962.0,2762066.0,2754062.0
SVN,939547.0,943667.0,960251.0,979293.0,965264.0,961234.0,969858.0,983737.0,963181.0,1010627.0,1019024.0,1025737.0,1040308.0,1036323.0,1043550.0,1043795.0,1022938.0,1017670.0,1012930.0,1017369.0,1010882.0,998363.0,1029046.0,1037500.0
SWE,4563353.0,4556818.0,4529500.0,4518355.0,4544404.0,4514130.0,4561650.0,4578307.0,4604216.0,4617014.0,4688853.0,4750286.0,4824500.0,4891961.0,4908471.0,4943074.0,5001509.0,5036384.0,5100683.0,5143977.0,5186870.0,5252218.0,5337330.0,5399893.0
THA,32196945.0,33038950.0,33805837.0,34067218.0,34161069.0,35021099.0,35314997.0,35810207.0,36285089.0,36815555.0,37347001.0,37575436.0,38305650.0,38752682.0,39186892.0,38941754.0,40061270.0,40107525.0,39263702.0,38995319.0,38919081.0,38664352.0,38489388.0,38908334.0
TUN,2934788.0,3012219.0,3086972.0,3133932.0,3178026.0,3221277.0,3258855.0,3294424.0,3328743.0,3363108.0,3397707.0,3492964.0,3563483.0,3639843.0,3729000.0,3807781.0,3872078.0,3962506.0,3955089.0,3981237.0,4012181.0,4034416.0,4060673.0,4086764.0
TUR,20943301.0,21250435.0,21214543.0,21765039.0,22205159.0,21416630.0,21767789.0,22072114.0,21907831.0,21874677.0,22316756.0,22241100.0,22626118.0,23362747.0,24208672.0,25218827.0,26282989.0,26782237.0,27838130.0,28688617.0,29779757.0,30831350.0,31962763.0,32833549.0
USA,136700074.0,138600058.0,141054775.0,142807776.0,144781936.0,146738412.0,147700616.0,148537342.0,149149954.0,150211579.0,152069621.0,153926382.0,155217714.0,157018957.0,157119037.0,156908693.0,156988739.0,158669839.0,158786446.0,159585089.0,160656132.0,162618460.0,164326552.0,165551383.0
VNM,37273607.0,38099184.0,39012399.0,39995704.0,40992951.0,41917509.0,42975754.0,43921342.0,44790573.0,45666853.0,46598033.0,47441387.0,48338674.0,49293960.0,50211128.0,51254211.0,52143659.0,52979510.0,54292342.0,54997363.0,55604625.0,55860308.0,56468715.0,57028658.0
ZAF,14563397.0,14944259.0,15319142.0,15701409.0,16080517.0,16463987.0,16805315.0,17149625.0,17513164.0,17879754.0,18254907.0,18604581.0,18966473.0,19357609.0,19107455.0,18903308.0,19230873.0,19748124.0,20356336.0,20827819.0,21688511.0,22090023.0,22691810.0,22948481.0
TWN,9210000.0,9310000.0,9432000.0,9546000.0,9668000.0,9784000.0,9832000.0,9969000.0,10076000.0,10240000.0,10371000.0,10522000.0,10713000.0,10853000.0,10917000.0,11070000.0,11200000.0,11341000.0,11445000.0,11535000.0,11638000.0,11693000.0,11795000.0,11874000.0
ROW,494807819.0,506681855.0,519118726.0,532160917.0,545798589.0,559958669.0,572604682.0,586069876.0,601181664.0,617190903.0,632429323.0,646754770.0,661810004.0,675977636.0,692365751.0,708353461.0,724228031.0,738557301.0,754119138.0,769086722.0,787842161.0,806054329.0,827030564.0,845530746.0
